# Game.exe Function Todo List
# Format: [ ] FUN_address @ address or [ ] Ordinal_number @ address
# Generated by functions-extract.ps1 on 11/18/2025 15:46:03
# Total functions: 230 (FUN_ and Ordinal_ functions (all functions))
#

[X] _memmove @ 02c61000
[X] ___crtExitProcess @ 02c6133d
[ ] DecodeBitStream @ 02c65e4c
[ ] InitializePKWareDecodeTables @ 02c65e52
[ ] GetReturnAddress @ 02c65e58
[ ] ProcessQueuedMessage @ 02c65e5e
[ ] SetHashTableEntryValue @ 02c65e64
[ ] DecodeBitStream @ 02c65e6a
[ ] UnlistHackedIP @ 02c65e70
[ ] LookupNetworkAddressInHashTable @ 02c65e76
[ ] SetBaseValueAtOffset0xBD0 @ 02c65e7c
[ ] CloseSocketEntry @ 02c65e82
[ ] ProcessNetworkAddressTracking @ 02c65e88
[ ] ProcessSocketConnectionAndTrackAddress @ 02c65e8e
[ ] InitializeGameSession @ 02c65e94
[ ] LookupHashTableEntry @ 02c65e9a
[ ] DestroyResourceManager @ 02c65ea0
[ ] HashTableLookup @ 02c65ea6
[ ] SetUnitFieldAt0xBBC @ 02c65eac
[ ] NoOp_StubFunction @ 02c65eb2
[ ] WaitOnObjectHandle @ 02c65eb8
[ ] DisconnectSocketByIP @ 02c65ebe
[ ] RemoveAndCopyPoolElement @ 02c65ec4
[ ] SetResourceStateOrHandleError @ 02c65eca
[ ] StubFunction_DoNothing @ 02c65ed0
[ ] UpdateHuffmanTreeStatistics @ 02c65ed6
[ ] WaitOrProcessContextSlots @ 02c65edc
[ ] GetHashTableEntryValue @ 02c65ee2
[ ] GetFieldAt0x880 @ 02c65ee8
[ ] ProcessContextOrSendSocketData @ 02c65eee
[ ] SetGameObjectProperty @ 02c65ef4
[ ] RegisterSlotIfUnique @ 02c65efa
[ ] GetOrSetArrayElement @ 02c65f00
[ ] DelegateToStubFunction @ 02c65f10
[ ] DelegateToStubWithGlobalValue @ 02c65f30
[ ] ProcessContextSlotsWithDelegate @ 02c65f40
[ ] ValidateAndProcessQueuedMessage @ 02c65f60
[ ] ValidateAndProcessQueuedMessage @ 02c65fb0
[ ] GetHashTableValueOrDefault @ 02c66000
[ ] SetHashTableOrDefaultValue @ 02c66020
[ ] SetUnitFieldAt0xBBCWrapper @ 02c66050
[ ] ApplyResourceStateOrError @ 02c66070
[ ] CloseSocketWrapper @ 02c66090
[ ] DisconnectSocketByIPWrapper @ 02c660b0
[ ] UnlistHackedIPWrapper @ 02c660d0
[ ] ProcessNetworkAddressTrackingWrapper @ 02c660f0
[ ] InitializeSocketConnection @ 02c66110
[ ] LookupHashTableEntryWrapper @ 02c66130
[ ] LookupHashTableEntry @ 02c66150
[ ] LookupNetworkAddressWithContext @ 02c66170
[ ] RemoveAndCopyPoolElement2 @ 02c66190
[ ] RemovePoolElement @ 02c661b0
[ ] RemoveAndCopyPoolElement_Wrapper @ 02c661d0
[ ] ShutdownResourceManager @ 02c661f0
[ ] ApplyBaseValueAtOffset0xBD0 @ 02c66220
[ ] InitializeFieldProcessor @ 02c66240
[ ] ApplyGameObjectProperty @ 02c66250
[ ] RegisterSlotIfUniqueWrapper @ 02c66270
[ ] GetOrSetArrayElementWrapper @ 02c66290
[ ] WaitOnGlobalObject @ 02c662b0
[ ] DispatchGameMessage @ 02c662d0
[ ] ValidateAndProcessNetworkPacket @ 02c66300
[ ] ProcessNetworkPacket @ 02c663e0
[ ] SendInitializationMessage @ 02c66560
[ ] InitializeGameSessionWrapper @ 02c66590
[ ] CalculatePacketSize @ 02c665d0
[ ] ExtractPacketFieldValue @ 02c66750
[ ] GetWSALastError @ 02c66a10
[ ] InitializeAllModules @ 02c66a20
[ ] SetLibraryInitialized @ 02c66a60
[ ] IsLibraryInitialized @ 02c66a70
[ ] IsLibraryInNormalState @ 02c66a80
[ ] InitializeLibrary @ 02c66aa0
[ ] DequeueMessageWithTimestamp @ 02c66ac0
[ ] GetSocketAddressAsString @ 02c66b70
[ ] ProcessIncomingPackets @ 02c66bd0
[ ] ProcessIncomingPackets @ 02c66d60
[ ] CleanupLibraryResources @ 02c66ef0
[ ] InitializeNetworkConnection @ 02c67030
[ ] GetLibraryInitializationMode @ 02c670d0
[ ] SetThreadInitializationMode @ 02c67120
[ ] ResetThreadInitModeIfNeeded @ 02c67160
[ ] InitializeThreadMode @ 02c671a0
[ ] DequeueMessage @ 02c671e0
[ ] DequeueMessageWrapper @ 02c67200
[ ] CreateMainGameThread @ 02c67220
[ ] SendSocketData @ 02c67240
[ ] InitializeLibraryResources @ 02c67540
[ ] InitializeLibraryThread @ 02c675e0
[ ] ProcessSocketMessage @ 02c67650
